iter	Passed	Remaining
0	1	162
1	3	149
2	4	139
3	5	130
4	6	130
5	8	128
6	9	126
7	10	125
8	12	124
9	14	126
10	15	125
11	16	123
12	18	120
13	19	118
14	20	117
15	21	115
16	23	113
17	24	111
18	25	110
19	27	108
20	28	107
21	29	105
22	31	104
23	32	102
24	33	101
25	35	100
26	36	98
27	37	97
28	39	96
29	40	95
30	42	94
31	43	92
32	44	91
33	46	90
34	48	89
35	49	87
36	50	86
37	52	84
38	53	83
39	54	81
40	55	80
41	56	77
42	58	77
43	59	75
44	60	74
45	62	73
46	63	71
47	64	70
48	65	68
49	67	67
50	68	65
51	70	64
52	71	63
53	72	61
54	73	60
55	74	58
56	76	57
57	77	56
58	78	54
59	79	53
60	81	51
61	82	50
62	83	49
63	85	47
64	86	46
65	88	45
66	89	44
67	90	42
68	92	41
69	93	39
70	94	38
71	95	37
72	97	35
73	98	34
74	99	33
75	101	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	110	24
82	111	22
83	112	21
84	114	20
85	115	18
86	116	17
87	117	16
88	119	14
89	120	13
90	122	12
91	123	10
92	124	9
93	126	8
94	127	6
95	128	5
96	130	4
97	131	2
98	132	1
99	134	0
