iter	Passed	Remaining
0	141	140978
1	145	72550
2	149	49798
3	154	38445
4	159	31642
5	163	27110
6	167	23808
7	173	21487
8	177	19571
9	182	18023
10	187	16817
11	191	15759
12	195	14838
13	199	14057
14	204	13433
15	208	12826
16	212	12289
17	217	11857
18	221	11432
19	225	11053
20	230	10749
21	234	10441
22	239	10160
23	244	9923
24	248	9672
25	252	9447
26	256	9239
27	260	9054
28	263	8829
29	266	8616
30	269	8413
31	271	8200
32	273	8017
33	275	7832
34	277	7650
35	279	7476
36	280	7308
37	282	7151
38	284	6999
39	285	6850
40	287	6715
41	288	6582
42	290	6455
43	291	6336
44	293	6223
45	294	6111
46	295	6001
47	297	5897
48	298	5796
49	300	5704
50	301	5611
51	303	5530
52	304	5447
53	306	5367
54	307	5287
55	309	5210
56	310	5134
57	311	5062
58	313	4995
59	314	4930
60	316	4864
61	317	4807
62	319	4756
63	321	4699
64	322	4642
65	324	4589
66	325	4535
67	326	4481
68	328	4434
69	329	4383
70	331	4334
71	332	4285
72	333	4238
73	335	4194
74	336	4150
75	337	4107
76	339	4065
77	340	4023
78	341	3983
79	343	3947
80	344	3909
81	346	3873
82	346	3831
83	348	3795
84	349	3761
85	350	3727
86	352	3694
87	353	3661
88	354	3630
89	356	3600
90	357	3571
91	359	3543
92	360	3514
93	361	3485
94	362	3457
95	364	3430
96	365	3402
97	366	3375
98	368	3349
99	369	3324
100	370	3299
101	372	3277
102	373	3254
103	375	3231
104	376	3208
105	377	3184
106	378	3162
107	380	3140
108	381	3117
109	382	3096
110	384	3075
111	385	3054
112	386	3035
113	388	3016
114	389	2997
115	390	2978
116	391	2957
117	393	2939
118	394	2921
119	395	2903
120	397	2885
121	398	2867
122	399	2850
123	401	2836
124	402	2820
125	404	2804
126	405	2786
127	406	2770
128	408	2755
129	409	2740
130	410	2724
131	411	2708
132	413	2694
133	414	2679
134	417	2672
135	418	2659
136	420	2645
137	421	2632
138	422	2618
139	424	2605
140	425	2592
141	426	2576
142	427	2563
143	429	2550
144	430	2539
145	432	2527
146	433	2516
147	434	2503
148	436	2492
149	437	2481
150	439	2469
151	440	2458
152	442	2447
153	443	2438
154	446	2432
155	447	2422
156	449	2412
157	450	2402
158	452	2393
159	454	2383
160	454	2370
161	456	2360
162	457	2350
163	459	2341
164	461	2333
165	462	2323
166	463	2312
167	464	2302
168	466	2293
169	467	2284
170	469	2274
171	470	2265
172	472	2257
173	473	2248
174	475	2241
175	477	2235
176	478	2225
177	479	2216
178	481	2207
179	482	2199
180	484	2190
181	485	2181
182	486	2173
183	488	2165
184	489	2158
185	491	2150
186	492	2142
187	494	2135
188	495	2127
189	497	2119
190	498	2111
191	500	2104
192	501	2096
193	502	2088
194	504	2080
195	505	2075
196	507	2068
197	509	2062
198	510	2055
199	512	2048
200	513	2042
201	515	2036
202	517	2031
203	518	2023
204	520	2017
205	521	2011
206	523	2004
207	524	1997
208	525	1990
209	527	1983
210	528	1977
211	530	1970
212	531	1964
213	533	1958
214	535	1954
215	536	1947
216	538	1941
217	539	1934
218	541	1930
219	542	1923
220	544	1917
221	545	1911
222	546	1904
223	547	1897
224	549	1893
225	551	1888
226	552	1882
227	554	1876
228	555	1870
229	556	1864
230	558	1858
231	559	1852
232	561	1847
233	562	1841
234	564	1836
235	565	1831
236	567	1826
237	568	1820
238	569	1814
239	571	1808
240	572	1802
241	573	1796
242	574	1791
243	576	1785
244	577	1780
245	578	1774
246	580	1769
247	581	1763
248	582	1758
249	584	1752
250	585	1747
251	586	1742
252	588	1736
253	589	1731
254	590	1726
255	592	1720
256	593	1715
257	595	1711
258	596	1706
259	597	1701
260	599	1696
261	600	1691
262	601	1686
263	603	1681
264	604	1676
265	605	1671
266	606	1666
267	608	1662
268	610	1657
269	611	1653
270	612	1648
271	614	1643
272	615	1639
273	617	1635
274	618	1631
275	619	1626
276	621	1621
277	623	1618
278	624	1614
279	625	1609
280	627	1605
281	628	1600
282	629	1595
283	631	1591
284	632	1586
285	633	1582
286	635	1577
287	636	1573
288	637	1569
289	639	1565
290	640	1560
291	641	1556
292	643	1551
293	644	1547
294	645	1543
295	647	1539
296	648	1534
297	649	1530
298	651	1526
299	653	1524
300	654	1520
301	656	1516
302	657	1512
303	659	1508
304	660	1505
305	661	1501
306	663	1497
307	664	1493
308	666	1489
309	667	1486
310	669	1482
311	670	1478
312	671	1474
313	672	1470
314	674	1466
315	675	1462
316	676	1458
317	678	1454
318	679	1450
319	680	1446
320	682	1443
321	683	1439
322	685	1435
323	686	1431
324	687	1428
325	688	1424
326	690	1420
327	691	1417
328	693	1413
329	694	1409
330	695	1405
331	697	1402
332	698	1398
333	699	1395
334	701	1391
335	702	1388
336	703	1384
337	704	1380
338	706	1376
339	707	1373
340	709	1370
341	710	1367
342	712	1363
343	713	1360
344	714	1356
345	716	1353
346	717	1349
347	718	1346
348	719	1342
349	721	1339
350	722	1335
351	723	1332
352	725	1329
353	726	1326
354	728	1322
355	729	1319
356	730	1316
357	732	1312
358	733	1309
359	734	1306
360	735	1302
361	737	1299
362	738	1296
363	740	1293
364	741	1290
365	742	1286
366	744	1283
367	745	1280
368	746	1276
369	748	1273
370	749	1270
371	750	1267
372	752	1264
373	753	1260
374	754	1257
375	756	1255
376	757	1251
377	758	1248
378	760	1245
379	761	1242
380	762	1239
381	764	1236
382	765	1233
383	766	1230
384	768	1227
385	769	1224
386	771	1221
387	772	1218
388	773	1215
389	775	1212
390	776	1209
391	777	1206
392	779	1203
393	780	1200
394	781	1197
395	783	1194
396	784	1191
397	785	1188
398	787	1185
399	788	1182
400	790	1180
401	791	1177
402	792	1174
403	794	1171
404	795	1168
405	796	1165
406	797	1162
407	799	1159
408	800	1156
409	801	1153
410	803	1151
411	804	1148
412	806	1146
413	807	1143
414	809	1140
415	810	1137
416	811	1134
417	812	1131
418	814	1129
419	815	1126
420	817	1123
421	818	1120
422	819	1118
423	821	1115
424	822	1112
425	823	1110
426	825	1107
427	826	1104
428	827	1101
429	829	1099
430	830	1096
431	831	1093
432	833	1091
433	834	1088
434	835	1085
435	837	1082
436	838	1080
437	839	1077
438	841	1074
439	842	1071
440	843	1069
441	845	1067
442	846	1064
443	848	1062
444	849	1059
445	850	1056
446	852	1054
447	853	1051
448	854	1048
449	856	1046
450	857	1043
451	858	1041
452	860	1038
453	861	1036
454	863	1033
455	864	1031
456	865	1028
457	868	1027
458	870	1025
459	871	1023
460	873	1021
461	875	1019
462	877	1017
463	879	1015
464	880	1013
465	881	1010
466	882	1007
467	884	1005
468	886	1003
469	888	1001
470	891	1001
471	893	999
472	894	996
473	896	994
474	897	992
475	899	990
476	901	988
477	903	986
478	905	985
479	907	982
480	908	980
481	910	978
482	911	975
483	913	973
484	914	971
485	916	968
486	918	967
487	919	965
488	921	963
489	923	960
490	924	958
491	925	955
492	927	953
493	928	951
494	931	949
495	933	948
496	934	946
497	936	943
498	937	941
499	939	939
500	940	936
501	942	934
502	943	932
503	945	930
504	946	927
505	948	925
506	949	923
507	951	921
508	953	919
509	954	916
510	955	914
511	957	912
512	959	910
513	960	908
514	964	908
515	967	907
516	969	905
517	971	903
518	972	901
519	974	899
520	976	897
521	978	896
522	980	893
523	981	891
524	983	889
525	984	887
526	986	885
527	987	882
528	988	880
529	990	878
530	992	876
531	994	874
532	996	872
533	997	870
534	999	868
535	1000	866
536	1002	863
537	1003	861
538	1004	859
539	1006	857
540	1008	855
541	1011	854
542	1012	852
543	1013	849
544	1015	847
545	1016	845
546	1018	843
547	1019	841
548	1024	841
549	1026	840
550	1028	838
551	1030	836
552	1032	834
553	1033	832
554	1034	829
555	1040	830
556	1042	828
557	1043	826
558	1044	824
559	1045	821
560	1047	819
561	1048	817
562	1049	814
563	1051	813
564	1053	811
565	1054	808
566	1057	807
567	1058	805
568	1060	802
569	1061	800
570	1062	798
571	1064	796
572	1065	794
573	1067	792
574	1069	790
575	1070	788
576	1072	786
577	1073	784
578	1075	781
579	1076	779
580	1078	777
581	1079	775
582	1080	773
583	1082	771
584	1084	769
585	1085	766
586	1086	764
587	1087	762
588	1089	760
589	1090	757
590	1091	755
591	1093	753
592	1094	751
593	1096	749
594	1097	747
595	1099	744
596	1100	742
597	1101	740
598	1103	738
599	1104	736
600	1105	733
601	1106	731
602	1108	729
603	1109	727
604	1111	725
605	1112	723
606	1113	721
607	1115	718
608	1116	716
609	1117	714
610	1119	712
611	1120	710
612	1121	708
613	1123	706
614	1124	703
615	1126	702
616	1127	699
617	1128	697
618	1130	695
619	1131	693
620	1132	691
621	1134	689
622	1135	687
623	1136	685
624	1138	682
625	1139	680
626	1141	678
627	1142	676
628	1143	674
629	1145	672
630	1146	670
631	1147	668
632	1149	666
633	1150	664
634	1151	661
635	1152	659
636	1154	657
637	1155	655
638	1156	653
639	1158	651
640	1159	649
641	1160	647
642	1162	645
643	1163	643
644	1164	641
645	1166	639
646	1167	637
647	1169	635
648	1170	633
649	1171	630
650	1173	628
651	1174	626
652	1175	624
653	1177	622
654	1178	620
655	1179	618
656	1180	616
657	1182	614
658	1184	612
659	1185	610
660	1187	608
661	1188	606
662	1189	604
663	1191	602
664	1192	600
665	1193	598
666	1195	596
667	1196	594
668	1198	592
669	1199	590
670	1201	588
671	1202	586
672	1203	584
673	1205	582
674	1206	580
675	1207	578
676	1209	577
677	1211	575
678	1213	573
679	1214	571
680	1215	569
681	1217	567
682	1218	565
683	1219	563
684	1220	561
685	1222	559
686	1223	557
687	1225	555
688	1226	553
689	1227	551
690	1229	549
691	1230	547
692	1231	545
693	1233	543
694	1234	541
695	1235	539
696	1237	537
697	1238	535
698	1239	533
699	1241	532
700	1242	530
701	1244	528
702	1245	526
703	1246	524
704	1248	522
705	1249	520
706	1250	518
707	1252	516
708	1253	514
709	1255	512
710	1256	510
711	1257	508
712	1259	506
713	1260	504
714	1262	503
715	1263	501
716	1264	499
717	1266	497
718	1267	495
719	1268	493
720	1270	491
721	1271	489
722	1272	487
723	1274	485
724	1275	483
725	1277	481
726	1278	480
727	1279	478
728	1281	476
729	1282	474
730	1283	472
731	1284	470
732	1286	468
733	1287	466
734	1289	464
735	1290	462
736	1291	460
737	1293	459
738	1294	457
739	1296	455
740	1297	453
741	1298	451
742	1300	449
743	1301	447
744	1302	445
745	1304	444
746	1305	442
747	1306	440
748	1308	438
749	1309	436
750	1310	434
751	1312	432
752	1313	430
753	1315	429
754	1316	427
755	1317	425
756	1319	423
757	1320	421
758	1321	419
759	1323	417
760	1324	415
761	1325	414
762	1326	412
763	1328	410
764	1329	408
765	1331	406
766	1332	404
767	1333	402
768	1335	401
769	1336	399
770	1337	397
771	1339	395
772	1340	393
773	1341	391
774	1342	389
775	1344	388
776	1345	386
777	1347	384
778	1348	382
779	1349	380
780	1351	378
781	1352	376
782	1353	375
783	1354	373
784	1356	371
785	1357	369
786	1358	367
787	1359	365
788	1360	363
789	1362	362
790	1363	360
791	1364	358
792	1366	356
793	1367	354
794	1368	352
795	1369	351
796	1371	349
797	1372	347
798	1373	345
799	1375	343
800	1376	342
801	1377	340
802	1379	338
803	1380	336
804	1381	334
805	1383	332
806	1384	331
807	1385	329
808	1387	327
809	1388	325
810	1390	323
811	1391	322
812	1393	320
813	1394	318
814	1396	316
815	1397	315
816	1398	313
817	1400	311
818	1401	309
819	1402	307
820	1403	306
821	1405	304
822	1407	302
823	1408	300
824	1409	299
825	1411	297
826	1412	295
827	1413	293
828	1415	291
829	1416	290
830	1417	288
831	1419	286
832	1420	284
833	1421	283
834	1423	281
835	1424	279
836	1425	277
837	1426	275
838	1428	274
839	1429	272
840	1430	270
841	1432	268
842	1433	267
843	1435	265
844	1436	263
845	1437	261
846	1439	260
847	1440	258
848	1442	256
849	1443	254
850	1444	252
851	1445	251
852	1447	249
853	1448	247
854	1450	245
855	1451	244
856	1452	242
857	1454	240
858	1455	238
859	1456	237
860	1458	235
861	1459	233
862	1460	231
863	1462	230
864	1464	228
865	1465	226
866	1466	225
867	1468	223
868	1469	221
869	1471	219
870	1472	218
871	1473	216
872	1475	214
873	1476	212
874	1478	211
875	1479	209
876	1481	207
877	1482	205
878	1483	204
879	1485	202
880	1487	200
881	1488	199
882	1490	197
883	1491	195
884	1493	194
885	1495	192
886	1497	190
887	1499	189
888	1500	187
889	1502	185
890	1503	183
891	1504	182
892	1506	180
893	1507	178
894	1509	177
895	1511	175
896	1512	173
897	1513	171
898	1515	170
899	1517	168
900	1519	166
901	1520	165
902	1522	163
903	1524	161
904	1526	160
905	1527	158
906	1529	156
907	1530	155
908	1532	153
909	1533	151
910	1534	149
911	1536	148
912	1538	146
913	1540	144
914	1541	143
915	1543	141
916	1544	139
917	1546	138
918	1547	136
919	1548	134
920	1550	132
921	1551	131
922	1553	129
923	1554	127
924	1556	126
925	1557	124
926	1559	122
927	1560	121
928	1562	119
929	1563	117
930	1564	115
931	1566	114
932	1568	112
933	1570	110
934	1571	109
935	1572	107
936	1573	105
937	1575	104
938	1576	102
939	1578	100
940	1579	99
941	1581	97
942	1583	95
943	1585	94
944	1586	92
945	1588	90
946	1589	88
947	1591	87
948	1592	85
949	1593	83
950	1595	82
951	1597	80
952	1598	78
953	1600	77
954	1601	75
955	1603	73
956	1604	72
957	1605	70
958	1607	68
959	1608	67
960	1609	65
961	1611	63
962	1613	61
963	1614	60
964	1616	58
965	1617	56
966	1618	55
967	1620	53
968	1621	51
969	1622	50
970	1624	48
971	1626	46
972	1627	45
973	1629	43
974	1631	41
975	1632	40
976	1634	38
977	1635	36
978	1636	35
979	1638	33
980	1639	31
981	1650	30
982	1652	28
983	1653	26
984	1657	25
985	1675	23
986	1677	22
987	1679	20
988	1684	18
989	1685	17
990	1688	15
991	1690	13
992	1694	11
993	1696	10
994	1699	8
995	1700	6
996	1703	5
997	1715	3
998	1719	1
999	1721	0
